occurrence_no,identified_name,identified_rank,accepted_name,early_interval,late_interval,max_ma,min_ma,lng,lat,cc,state,county
382145,Anomoepus ? sp.,genus,Anomoepus,Kimmeridgian,,157.3,152.1,-106.063614,41.916111,US,Wyoming,Carbon
382146,Sauropoda indet.,unranked clade,Sauropoda,Kimmeridgian,,157.3,152.1,-106.063614,41.916111,US,Wyoming,Carbon
382151,Theropoda indet.,unranked clade,Theropoda,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382152,cf. Eubrontes sp.,genus,Eubrontes,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382153,Dilophosauripus sp.,genus,Dilophosauripus,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382154,cf. Kayentapus sp.,genus,Kayentapus,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382155,cf. Grallator sp.,genus,Grallator,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382156,cf. Anchisauripus sp.,genus,Anchisauripus,Sinemurian,Pliensbachian,199.3,182.7,-111.243332,36.101391,US,Arizona,Coconino
382508,n. gen. Aragosaurus n. sp. ischiaticus,species,Aragosaurus ischiaticus,Kimmeridgian,Tithonian,157.3,145,-0.87934,40.661667,ES,Aragón,Teruel
384334,Mamenchisaurus n. sp. sinocanadorum,species,Mamenchisaurus sinocanadorum,Oxfordian,,163.5,157.3,90,44.5,CN,Xinjiang,
384369,Brontosaurus excelsus,species,Brontosaurus excelsus,Kimmeridgian,Tithonian,157.3,145,-108.728699,39.128502,US,Colorado,Mesa
384371,Ornithopsis n. sp. leedsii,species,Ornithopsis leedsii,Early Callovian,,164.7,161.2,-0.25,52.583302,UK,England,Cambridgeshire
384377,n. gen. Cryptosaurus n. sp. eumerus,species,Ankylosauria,Late Oxfordian,,161.2,155.7,-0.1333,52.1833,UK,England,Cambridgeshire
384453,Grallator sp.,genus,Grallator,Middle Bathonian,,167.7,164.7,-6.14,57.584167,UK,Scotland,
385024,Massospondylus browni,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.4167,-28.516701,ZA,Free State,Bethlehem
385088,Thecodontosaurus skirtopodus,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.2167,-28.616699,ZA,Free State,Fouriesburg
385100,Massospondylus ? n. sp. browni,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,27.1667,-30.616699,ZA,Eastern Cape,Herschel
385292,Thecodontosaurus n. sp. minor,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.366699,-31.0833,ZA,Eastern Cape,Maclear
385293,Massospondylus carinatus,species,Massospondylus carinatus,Pliensbachian,,190.8,182.7,27.450001,-29.200001,ZA,Free State,Ladybrand
385300,n. gen. Geranosaurus n. sp. atavus,species,Heterodontosauridae,Sinemurian,,199.3,190.8,27.85,-31.450001,ZA,Eastern Cape,Elliot
385605,n. gen. Gigantoscelus n. sp. molengraaffi,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.25,-23.833332,ZA,Limpopo,Waterberg
385608,Gryponyx n. sp. taylori,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.233334,-28.616667,ZA,Free State,Fouriesburg
385609,n. gen. Gryponyx n. sp. africanus,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.2167,-28.616699,ZA,Free State,Fouriesburg
385612,n. gen. Dromicosaurus n. sp. gracilis,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,25.5833,-26.1833,ZA,Free State,Bethlehem
385654,n. gen. Aetonyx n. sp. palustris,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.2167,-28.616699,ZA,Free State,Fouriesburg
385655,Massospondylus n. sp. harriesi,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,28.2167,-28.616699,ZA,Free State,Fouriesburg
385657,n. gen. Massospondylus n. sp. carinatus,species,Massospondylus carinatus,Hettangian,Sinemurian,201.3,190.8,29.166668,-28.516666,ZA,Free State,Harrismith
385658,n. gen. Pachyspondylus n. sp. orpenii,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,29.166668,-28.516666,ZA,Free State,Harrismith
385659,n. gen. Leptospondylus n. sp. capensis,species,Prosauropoda,Hettangian,Sinemurian,201.3,190.8,29.166668,-28.516666,ZA,Free State,Harrismith
385674,n. gen. Gyposaurus n. sp. capensis,species,Prosauropoda,Pliensbachian,,190.8,182.7,27.450001,-29.200001,ZA,Free State,Ladybrand
