occurrence_no,identified_name,identified_rank,identified_no,accepted_name,accepted_attr,accepted_rank,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
1331101,Theropoda indet.,unranked clade,91970,Theropoda,,unranked clade,Aptian,,125,113,59339,16.582338,41.193478
1331102,Ornithopoda indet.,unranked clade,147918,Ornithopoda,,unranked clade,Aptian,,125,113,59339,16.582338,41.193478
1331103,Ornithischia indet.,unranked clade,91973,Ornithischia,,unranked clade,Aptian,,125,113,59342,16.663692,41.187958
1331104,Ankylosauridae indet.,family,38831,Ankylosauridae,,family,Aptian,,125,113,59339,16.582338,41.193478
1331105,Theropoda indet.,unranked clade,91970,Theropoda,,unranked clade,Aptian,,125,113,59342,16.663692,41.187958
1331106,Sauropoda indet.,unranked clade,95571,Sauropoda,,unranked clade,Aptian,,125,113,59342,16.663692,41.187958
1331107,Ornithopoda indet.,unranked clade,147918,Ornithopoda,,unranked clade,Aptian,,125,113,59343,16.089516,40.968452
1331108,Dinosauria indet.,unranked clade,91968,Dinosauria,,unranked clade,Aptian,,125,113,59343,16.077381,41.085617
1331290,Stenonychosaurus inequalis,species,54467,Stenonychosaurus inequalis,,species,Middle Campanian,Late Campanian,83.5,70.6,56332,-111.350998,50.786098
1331291,Stenonychosaurus inequalis,species,54467,Stenonychosaurus inequalis,,species,Middle Campanian,Late Campanian,83.5,70.6,56332,-111.500397,50.727901
1331292,Stenonychosaurus inequalis,species,54467,Stenonychosaurus inequalis,,species,Middle Campanian,Late Campanian,83.5,70.6,56332,-111.546402,50.742401
1331293,Stenonychosaurus inequalis,species,54467,Stenonychosaurus inequalis,,species,Middle Campanian,Late Campanian,83.5,70.6,56332,-111.477402,50.742401
1331294,Stenonychosaurus inequalis,species,54467,Stenonychosaurus inequalis,,species,Middle Campanian,Late Campanian,83.5,70.6,56332,-111.569397,50.822399
1331295,Stenonychosaurus inequalis,species,54467,Stenonychosaurus inequalis,,species,Middle Campanian,Late Campanian,83.5,70.6,56332,-111.510002,50.778
1331296,Stenonychosaurus inequalis,species,54467,Stenonychosaurus inequalis,,species,Middle Campanian,Late Campanian,83.5,70.6,56332,-111.510002,50.778
1331298,Theropoda ? indet.,unranked clade,91970,Theropoda,,unranked clade,Aptian,,125,113,23520,136.633331,36.200001
1331299,Euornithopoda ? indet.,unranked clade,52801,Euornithopoda,,unranked clade,Aptian,,125,113,23520,136.633331,36.200001
1331318,Dinosauria ? indet.,unranked clade,90099,Dinosauria,,unranked clade,Late Maastrichtian,,70.6,66,59346,-105.747185,49.605839
