occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
483890,occ,17951,,48424,Ornithischia indet.,unranked clade,38712,,Ornithischia,,unranked clade,38712,Norian,,228,208.5,17273,-101.168892,33.449165
483891,occ,17952,,48424,Theropoda ? indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,17273,-101.168892,33.449165
484390,occ,,I,48459,Grallator sp.,genus,64079,,Grallator,,genus,64079,Carnian,,237,228,12946,28.274721,-30.97611
484409,occ,22995,,48460,cf. Saturnalia sp.,genus,68123,,Saturnalia,,genus,68123,Carnian,,237,228,7097,30.333332,-16.233334
484986,occ,34482,,48546,n. gen. Chindesaurus n. sp. bryansmalli,species,66909,,Chindesaurus bryansmalli,,species,66909,Norian,,228,208.5,14122,-109.794441,35.087502
484990,occ,,,48547,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,5705,-109.765282,34.943333
484993,occ,,,48547,Ornithischia ? indet.,unranked clade,38712,,Ornithischia,,unranked clade,38712,Norian,,228,208.5,5705,-109.765282,34.943333
486103,occ,12348,,48639,Plateosaurus engelhardti,species,56683,,Plateosaurus engelhardti,,species,56683,Norian,,228,208.5,12994,5.766667,46.900002
486104,occ,12347,,25836,Plateosaurus engelhardti,species,56683,,Plateosaurus engelhardti,,species,56683,Norian,,228,208.5,12994,5.659798,46.842579
486105,occ,,,48640,Dimodosaurus poligniensis,species,54159,nomen dubium,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,7187,5.6,46.766666
486106,occ,,,48641,Dimodosaurus poligniensis,species,54159,nomen dubium,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,7187,6.033333,47.25
486128,occ,,,36106,Plateosaurus sp.,genus,38644,,Plateosaurus,,genus,38644,Rhaetian,,208.5,201.3,15228,6.332844,48.615555
486145,occ,,,48643,Plateosaurus sp.,genus,38644,,Plateosaurus,,genus,38644,Norian,,228,208.5,12975,5.55,46.666672
486146,occ,28193,,48643,Gresslyosaurus cf. plieningeri,species,57406,,Gresslyosaurus plieningeri,,species,57406,Norian,,228,208.5,12975,5.55,46.666672
486147,occ,,,48644,n. gen. Avalonia n. sp. sanfordi,species,56607,nomen dubium,Theropoda,,unranked clade,38513,Rhaetian,,208.5,201.3,29865,-2.816667,51.216671
486165,occ,,,48644,n. gen. Camelotia n. sp. borealis,species,56586,,Camelotia borealis,,species,56586,Rhaetian,,208.5,201.3,12982,-2.816667,51.216671
486188,occ,,,48658,n. gen. Staurikosaurus n. sp. pricei,species,55001,,Staurikosaurus pricei,,species,55001,Carnian,,237,228,12492,-53.799999,-29.683001
486393,occ,,,48683,n. gen. Plateosaurus n. sp. engelhardti,species,56683,,Plateosaurus engelhardti,,species,56683,Norian,,228,208.5,23495,11.133,49.516602
486395,occ,23380,,48683,cf. Liliensternus sp.,genus,55542,,Liliensternus,,genus,55542,Norian,,228,208.5,33788,11.133,49.516602
486397,occ,33456,,48684,Zanclodon n. sp. bavaricus,species,65085,nomen dubium,Prosauropoda,,unranked clade,38634,Rhaetian,,208.5,201.3,62417,10.658611,50.197777
486402,occ,,,48687,Plateosaurus n. sp. quenstedti,species,57401,nomen dubium,Plateosaurus,,genus,38644,Rhaetian,,208.5,201.3,16920,9.05,48.533329
486403,occ,,,48687,Pachysaurus n. sp. magnus,species,57410,nomen dubium,Prosauropoda,,unranked clade,38634,Rhaetian,,208.5,201.3,16920,9.05,48.533329
486405,occ,,,48689,Plateosaurus n. sp. reinigeri,species,57400,nomen dubium,Plateosaurus,,genus,38644,Norian,,228,208.5,16920,9.166667,48.75
486406,occ,,,48689,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,12994,9.166667,48.75
486407,occ,33909,,48690,Plateosaurus n. sp. erlenbergiensis,species,57402,,Plateosaurus erlenbergiensis,,species,57402,Rhaetian,,208.5,201.3,16920,9.1,48.733299
486408,occ,30614,,48691,Gresslyosaurus n. sp. plieningeri,species,57406,,Gresslyosaurus plieningeri,,species,57406,Norian,,228,208.5,16920,9.166667,48.75
486409,occ,,,48692,Gresslyosaurus n. sp. robustus,species,57407,nomen dubium,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,16920,9.0667,48.549999
486410,occ,,,48693,Pachysaurus n. sp. ajax,species,57409,nomen dubium,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,16920,9.4606,49.080799
486411,occ,23675,,22684,Plateosaurus n. sp. longiceps,species,64684,subjective synonym of,Plateosaurus erlenbergiensis,,species,57402,Rhaetian,,208.5,201.3,25716,11.073611,51.897499
486412,occ,12366,,48694,n. gen. Ruehleia n. sp. bedheimensis,species,65100,,Ruehleia bedheimensis,,species,65100,Norian,,228,208.5,12994,10.55,50.383301
486413,occ,,,48694,Halticosaurus n. sp. liliensterni,species,56380,recombined as,Liliensternus liliensterni,,species,56380,Norian,,228,208.5,13767,10.55,50.383301
487127,occ,,,48830,Theropoda ? indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Late Triassic,Early Jurassic,237,174.1,13013,37.8167,8.9833
487269,occ,,,48873,Sauropoda indet.,unranked clade,38653,,Sauropoda,,unranked clade,38653,Norian,Rhaetian,228,201.3,13035,101.983299,16.3333
490747,occ,12600,,49499,n. gen. Gojirasaurus n. sp. quayi,species,65490,,Gojirasaurus quayi,,species,65490,Norian,,228,208.5,7058,-103.379997,35.365276
490753,occ,,,49499,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,13246,-103.379997,35.365276
490755,occ,37914,,49500,Coelophysidae indet.,family,55478,,Coelophysidae,,family,55478,Norian,,228,208.5,75605,-109.833298,35.033298
491743,occ,12681,,49654,Liliensternus n. sp. airelensis,species,56381,recombined as,Lophostropheus airelensis,,species,56381,Rhaetian,Hettangian,208.5,199.3,13302,1.083333,49.216667
497884,occ,,I,50302,cf. Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,13507,8.983333,49
497885,occ,,I,50303,cf. Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,13508,9.83333,48.916672
504253,occ,19707,,47803,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,14199,8.451944,47.706112
513187,occ,,,39671,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Late Triassic,,237,201.3,13103,-101.133301,33.5
513479,occ,28133,,51970,Thecodontosaurus n. sp. antiquus,species,56627,,Thecodontosaurus antiquus,,species,56627,Rhaetian,,208.5,201.3,14071,-2.616667,51.469166
513485,occ,,,51970,n. gen. Agrosaurus n. sp. macgillivrayi,species,64396,nomen dubium,Prosauropoda,,unranked clade,38634,Rhaetian,,208.5,201.3,53449,-2.616667,51.469166
513496,occ,20863,IF,51979,Grallator (Eubrontes) giganteus,species,131087,recombined as,Eubrontes giganteus,,species,67402,Rhaetian,,208.5,201.3,27923,12.56667,56.200001
513572,occ,,,52014,n. gen. Coloradia n. sp. brevis,species,66680,recombined as,Coloradisaurus brevis,,species,66680,Norian,,228,208.5,13923,-68.216667,-29.733334
513603,occ,,,52032,n. gen. Riojasaurus n. sp. incertus,species,56585,,Riojasaurus incertus,,species,56585,Norian,,228,208.5,13920,-67.933327,-29.783501
513604,occ,13259,,52032,Prosauropoda indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,23520,-67.933327,-29.783501
513907,occ,,,52086,Syntarsus sp.,genus,38525,,Syntarsus,,genus,38525,Rhaetian,Hettangian,208.5,199.3,13958,-111.302223,35.931389
515173,occ,,I,52168,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,55930,-103.639397,34.976601
517568,occ,,IF,52494,Grallator tenuis,species,67368,,Grallator tenuis,,species,67368,Late Triassic,,237,201.3,14120,-76.803864,40.158424
517569,occ,,IF,52494,Anchisauripus sillimani,species,67393,recombined as,Eubrontes sillimani,,species,67392,Late Triassic,,237,201.3,14120,-76.803864,40.158424
517570,occ,37905,,52495,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Norian,,228,208.5,75613,-103.379997,35.365276
517571,occ,37903,,52496,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Norian,,228,208.5,75613,-109.79512,35.087524
517572,occ,37906,,52497,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Lacian,,221.5,215.56,75613,-103.488297,35.159779
517573,occ,,,52498,Coelurus bauri,species,54212,recombined as,Coelophysis bauri,,species,54212,Norian,,228,208.5,9090,-106.339478,36.205296
517574,occ,,,47126,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,29943,-106.466667,36.316666
517575,occ,15604,,39160,Saurischia indet.,unranked clade,38505,,Saurischia,,unranked clade,38505,Norian,,228,208.5,15399,-109.462486,34.43742
517583,occ,,,52496,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,14122,-109.79512,35.087524
517592,occ,22711,,52499,Revueltosaurus hunti,species,69055,recombined as,Krzyzanowskisaurus hunti,,species,69055,Norian,,228,208.5,31634,-109.316704,34.533298
517598,occ,,,52500,Dinosauria indet.,unranked clade,91968,,Dinosauria,,unranked clade,52775,Norian,,228,208.5,14122,-109.800003,34.866699
517621,occ,,,52498,Coelurus n. sp. longicollis,species,54211,subjective synonym of,Coelophysis bauri,,species,54212,Norian,,228,208.5,9090,-106.339478,36.205296
517622,occ,,,52498,Tanystropheus n. sp. willistoni,species,66655,subjective synonym of,Coelophysis bauri,,species,54212,Norian,,228,208.5,17157,-106.339478,36.205296
518725,occ,,,52740,Herrerasaurus ischigualastensis,species,55000,,Herrerasaurus ischigualastensis,,species,55000,Carnian,,237,228,11823,-68.699997,-29.216669
518726,occ,,,52741,n. gen. Herrerasaurus n. sp. ischigualastensis,species,55000,,Herrerasaurus ischigualastensis,,species,55000,Carnian,,237,228,11823,-68.699997,-29.216669
518727,occ,,,52742,Herrerasaurus ischigualastensis,species,55000,,Herrerasaurus ischigualastensis,,species,55000,Carnian,,237,228,11823,-68.699997,-29.216669
518730,occ,38232,,52743,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Late Triassic,,237,201.3,65740,-68.699997,-29.216669
518731,occ,,,52744,Herrerasaurus ischigualastensis,species,55000,,Herrerasaurus ischigualastensis,,species,55000,Carnian,,237,228,11823,-68.699997,-29.216669
518732,occ,,,52745,n. gen. Ischisaurus n. sp. cattoi,species,58914,subjective synonym of,Herrerasaurus ischigualastensis,,species,55000,Carnian,,237,228,11823,-68.699997,-29.216669
518733,occ,,,52746,Ischisaurus cattoi,species,58914,subjective synonym of,Herrerasaurus ischigualastensis,,species,55000,Carnian,,237,228,11823,-68.699997,-29.216669
518738,occ,32905,,52748,Saurischia indet.,unranked clade,91969,,Saurischia,,unranked clade,38505,Carnian,,237,228,60797,-68.699997,-29.216669
519917,occ,,,52907,n. gen. Frenguellisaurus n. sp. ischigualastensis,species,66349,subjective synonym of,Herrerasaurus ischigualastensis,,species,55000,Carnian,,237,228,13756,-67.916664,-30.083332
527467,occ,,,53829,Plateosaurus sp.,genus,38644,,Plateosaurus,,genus,38644,Rhaetian,,208.5,201.3,14493,-0.810833,53.034721
528637,occ,,,54006,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,14598,-106.446297,36.313
528639,occ,,,54008,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,14598,-106.446297,36.313
528640,occ,,,54009,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,14598,-106.446297,36.313
528641,occ,,,54010,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,14598,-106.446297,36.313
528642,occ,,,54011,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,14598,-106.446297,36.313
528643,occ,,,54012,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,14598,-106.446297,36.313
528644,occ,,,54013,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,14598,-106.446297,36.313
528645,occ,,,54014,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,14598,-106.446297,36.313
530240,occ,,I,54144,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,14637,-75.43,40.224167
530241,occ,,I,54144,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,14637,-75.43,40.224167
530242,occ,34815,I,54144,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,65944,-75.43,40.224167
530454,occ,,,54167,Coelophysis bauri,species,55477,,Coelophysis bauri,,species,54212,Norian,,228,208.5,14598,-106.339478,36.205296
530455,occ,,,54168,Coelophysis bauri,species,55477,,Coelophysis bauri,,species,54212,Norian,,228,208.5,14598,-106.874496,36.339298
534097,occ,20873,I,55259,cf. Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,65919,-108.914368,38.646606
534098,occ,,IF,55259,Anomoepodidae indet.,family,52874,,Anomoepodidae,,family,52874,Norian,,228,208.5,14750,-108.914368,38.646606
534099,occ,,IF,55259,Pseudotetrasauropus ? sp.,genus,77385,,Pseudotetrasauropus,,genus,77385,Norian,,228,208.5,14750,-108.914368,38.646606
534105,occ,,,55259,Prosauropoda indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,14750,-108.914368,38.646606
534612,occ,,I,55316,Coelurosaurichnus n. sp. grancieri,species,68203,,Coelurosaurichnus grancieri,,species,68203,Carnian,,237,228,14684,4.15,44.450001
534736,occ,28999,,55321,Plateosaurus sp.,genus,38644,,Plateosaurus,,genus,38644,Rhaetian,,208.5,201.3,33897,10.68333,52.066669
534770,occ,22026,,51970,n. gen. Asylosaurus n. sp. yalensis,species,153776,,Asylosaurus yalensis,,species,153776,Rhaetian,,208.5,201.3,30681,-2.616667,51.469166
534771,occ,22027,,51970,Anchisauria indet.,unranked clade,68582,,Anchisauria,,unranked clade,68582,Rhaetian,,208.5,201.3,30681,-2.616667,51.469166
534998,occ,,,55365,Prosauropoda indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,14872,12.454604,46.309559
534999,occ,,,55366,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,14872,12.483277,46.327412
535000,occ,,,55367,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,14872,12.601133,46.307098
535860,occ,,I,55410,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,14907,-75.033501,40.548599
535861,occ,,I,55411,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,14907,-75.064163,40.539444
535862,occ,,I,55412,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,14907,-74.106667,40.826389
535863,occ,,I,55413,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,12444,-76.75,40.1525
535867,occ,,I,55414,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,14907,-77.057899,40.001499
535873,occ,,I,55415,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,14907,-75.45639,40.1525
535877,occ,,IF,55416,Atreipus n. sp. acadianus,species,68461,subjective synonym of,Grallator tenuis,,species,67368,Carnian,,237,228,14907,-64.616669,45.200001
535880,occ,,I,55417,Coelurosaurichnus n. sp. metzneri,species,68462,subjective synonym of,Grallator tuberosus,,species,67394,Carnian,,237,228,45225,10.6167,49.483299
535881,occ,,IF,55418,Anchisauripus sillimani,species,67393,recombined as,Eubrontes sillimani,,species,67392,Norian,,228,208.5,14907,-74.190002,40.752777
535882,occ,,I,55418,Anchisauripus tuberosus,species,67395,recombined as,Grallator tuberosus,,species,67394,Norian,,228,208.5,14907,-74.190002,40.752777
535883,occ,,I,55418,Atreipus sp.,genus,68367,,Atreipus,,genus,68367,Norian,,228,208.5,14907,-74.190002,40.752777
535884,occ,,I,55419,Atreipus sp.,genus,68367,,Atreipus,,genus,68367,Norian,,228,208.5,14907,-75.454445,40.225555
536068,occ,,,55446,Guaibasaurus candelariensis,species,66571,,Guaibasaurus candelariensis,,species,66571,Norian,,228,208.5,14939,-53.446667,-29.5625
536422,occ,,I,55412,Grallator spp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,14907,-74.106667,40.826389
536423,occ,,IF,55412,Anchisauripus spp.,genus,64083,,Anchisauripus,,genus,64083,Norian,,228,208.5,14907,-74.106667,40.826389
536424,occ,31549,I,55412,Coelurosaurichnus sp. 2. informal,genus,68186,,Coelurosaurichnus,,genus,68186,Norian,,228,208.5,55918,-74.106667,40.826389
